id,name,gender,presença_plenario,ausencia_justificada_plenario,ausencia_plenario,presenca_comissao,ausencia_justificada_comissao,ausencia_comissao,data_nascimento,salario_bruto,salario_bruto_par,quant_viagem,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par ,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab
141372,Aelton Freitas (PP-MG),M,83 dias,2 dias,7 dias,22 reuniões,2 reuniões,14 reuniões,15/12/1961,"R$ 33.763,00",,0,"
		                		
			                	R$ 371.470,66","R$ 37.592,87","R$ 44.508,37","R$ 46.095,45","R$ 33.084,47","R$ 49.928,24","R$ 19.715,12","R$ 38.644,85","R$ 22.680,38","R$ 19.806,39","R$ 58.251,64","R$ 1.162,88",,,"111.326,04","111.343,59","111.629,35","111.629,35","111.457,94","111.397,84","107.361,35","107.874,60","107.874,60","110.127,53",0,0
141464,José Airton Félix Cirilo (PT-CE),M,79 dias,9 dias,4 dias,4 reuniões,6 reuniões,13 reuniões,21/02/1957,"R$ 33.763,00",,"
                                            ","
		                		
			                	R$ 399.113,88","R$ 48.481,68","R$ 46.854,65","R$ 39.154,85","R$ 52.156,74","R$ 55.137,90","R$ 52.767,27","R$ 37.854,94","R$ 24.884,02","R$ 18.571,25","R$ 16.096,81","R$ 7.153,77",,,"111.586,78","111.586,78","111.589,34","111.496,24","111.665,75","110.239,08","110.975,42","111.665,75","111.665,75","111.597,06",0,0
205476,Charles Fernandes (PSD-BA),M,90 dias,1 dias,1 dias,35 reuniões,0 reuniões,6 reuniões,15/03/1965,"R$ 33.763,00",,0,"
		                		
			                	R$ 323.383,76","R$ 24.256,26","R$ 47.976,68","R$ 50.658,86","R$ 46.560,45","R$ 48.292,35","R$ 27.745,84","R$ 27.027,00","R$ 19.586,71","R$ 19.284,11","R$ 10.381,44","R$ 1.614,06",,,"111.439,65","111.389,19","111.507,90","111.507,88","110.522,28","111.149,99","111.433,52","111.507,87","111.507,87","110.870,57",0,0
213854,Dr. Agripino Magalhães (UNIAO-CE),M,31 dias,0 dias,0 dias,4 reuniões,0 reuniões,0 reuniões,23/06/1954,"R$ 33.763,00",,0,"
		                		
			                	R$ 162.843,04",,,,,,"R$ 48.546,60","R$ 35.623,08","R$ 54.513,11","R$ 24.160,25",,,,,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",0,0
204374,Bia Kicis (PL-DF),F,89 dias,3 dias,0 dias,56 reuniões,3 reuniões,4 reuniões,19/09/1961,"R$ 33.763,00",,,"
		                		
			                	R$ 217.096,60","R$ 25.190,49","R$ 25.724,28","R$ 26.105,29","R$ 27.799,70","R$ 29.874,33","R$ 15.473,15","R$ 16.116,39","R$ 14.243,78","R$ 13.146,49","R$ 22.163,74","R$ 1.258,96",,,"111.271,47","111.271,47","111.271,47","111.271,47","111.271,47","111.538,39","111.538,39","111.538,39","111.538,39","111.538,39",0,0
204518,Dr. Frederico (PATRIOTA-MG),M,83 dias,0 dias,9 dias,24 reuniões,0 reuniões,57 reuniões,24/03/1977,"R$ 33.763,00",,0,"
		                		
			                	R$ 310.970,98","R$ 31.170,62","R$ 36.914,75","R$ 42.269,93","R$ 38.087,59","R$ 42.514,00","R$ 33.769,22","R$ 28.862,16","R$ 24.728,50","R$ 11.486,99","R$ 20.931,45","R$ 235,77",,,"111.212,41","111.201,53","110.944,53","108.641,77","111.313,96","110.772,89","111.313,96","110.891,90","111.313,96","109.219,49",0,0
204490,Charlles Evangelista (PP-MG),M,88 dias,4 dias,0 dias,27 reuniões,5 reuniões,4 reuniões,27/12/1984,"R$ 33.763,00",,0,"
		                		
			                	R$ 272.031,91","R$ 22.449,08","R$ 36.430,49","R$ 47.122,47","R$ 36.668,39","R$ 49.948,09","R$ 24.701,10","R$ 21.331,84","R$ 25.587,97","R$ 1.432,93","R$ 6.359,55",,,,"102.330,37","102.010,39","103.658,78","105.928,21","106.859,77","104.041,72","106.811,02","110.258,36","110.258,36","107.229,36",0,0
205550,Jorge Braz (REPUBLICANOS-RJ),M,89 dias,2 dias,1 dias,8 reuniões,0 reuniões,7 reuniões,13/07/1953,"R$ 33.763,00",,0,"
		                		
			                	R$ 353.651,65","R$ 37.834,21","R$ 40.719,44","R$ 48.035,20","R$ 38.023,23","R$ 41.599,48","R$ 38.562,81","R$ 36.165,91","R$ 19.598,31","R$ 31.859,73","R$ 20.944,80","R$ 308,53",,,"111.531,85","110.780,53","110.202,86","110.754,01","111.574,72","111.574,72","111.574,72","111.574,72","111.574,72","111.574,72",0,0
204449,Nelson Barbudo (PL-MT),M,79 dias,9 dias,4 dias,20 reuniões,0 reuniões,0 reuniões,14/02/1960,"R$ 33.763,00",,0,"
		                		
			                	R$ 367.306,86","R$ 51.552,78","R$ 56.554,42","R$ 57.033,13","R$ 51.660,97","R$ 58.746,46","R$ 6.365,91","R$ 10.378,00","R$ 3.887,61","R$ 6.650,92","R$ 59.712,60","R$ 4.764,06",,,"110.616,22","110.616,22","110.616,22","110.616,22","110.616,22","110.616,22","102.405,85","66.158,10","63.594,02","84.862,71",0,0
73486,Pompeo de Mattos (PDT-RS),M,89 dias,2 dias,1 dias,65 reuniões,11 reuniões,43 reuniões,12/07/1958,"R$ 33.763,00",,0,"
		                		
			                	R$ 358.380,95","R$ 41.231,74","R$ 59.462,92","R$ 49.369,15","R$ 33.109,82","R$ 73.003,33","R$ 28.978,11","R$ 25.956,45","R$ 17.821,83","R$ 16.082,73","R$ 12.802,87","R$ 562,00",,,"111.204,69","111.204,69","110.681,07","110.983,29","111.198,62","111.016,67","111.016,67","111.100,61","111.392,73","111.412,10",0,0
